epoch,train_loss,val_mse,val_rmse
0,0.804635,0.717934,0.847310
1,0.506493,0.649194,0.805726
2,0.424517,0.683988,0.827036
3,0.389091,0.733272,0.856313
4,0.371088,0.741737,0.861241
5,0.359089,0.746661,0.864095
6,0.349144,0.713689,0.844801
